@relation training_environment

@attribute id_training_data numeric
@attribute term string
@attribute training_class {Opportunity,Threat,None}

@data
258,'mui diy dulu rangka masalah ahok sekarang apa',Opportunity
263,'mahfud md reuni kental nuansa politis biarin',Opportunity
273,'massa reuni asal purwakarta mulai tolak jakarta',Opportunity
288,'rieke ungkap bakal angkat pns tenaga sehat',Opportunity
305,'bbws citarum rencana tambah kolam retensi bandung selatan',Opportunity
321,'reuni hanya gera politik ideologi',Opportunity
323,'ribu nelayan pantura cirebon ganjar asuransi gratis',Opportunity
324,'pemkot usaha ritel sepakat kurang kantong plastik bandung',Opportunity
325,'situs wisata gua pawon masuk prioritas ridwan kamil',Opportunity
328,'reuni nilai gera politik minim edukasi elektoral',Opportunity
337,'ridwan kamil luncur jabar masagi gedung negara cirebon',Opportunity
346,'perintah gelontor rp miliar sungai citarum',Opportunity
348,'pemkot bandung ambil alih kelola pasar baru',Opportunity
349,'pasar kota bandung revitalisasi',Opportunity
359,'klhk usaha indonesia predikat hijau emas',Opportunity
361,'festival kebaya banyuwangi tampil sentuh segar desain',Opportunity
362,'tim jabar saber hoaks gawang milenial',Opportunity
366,'polisi gowes bareng ulama ormas islam jalin silaturahmi',Opportunity
367,'akhir tahun pabrik ka besar indonesia bangun banyuwangi',Opportunity
368,'tempat akan jadi destinasi wisata arsitektur banyuwangi',Opportunity
465,'hunting foto malam hari spot instagenik paling recommended',Opportunity
467,'mau lihat lebih ramping foto simak tips fotografer langgan artis era bachir',Opportunity
479,'bocah tahun jadi youtuber kaya dunia dari ulas main',Opportunity
487,'bijak jadi kunci kemenpar tarik kunjung wisman',Opportunity
500,'pariwisata majalengka siap terbang lebih tinggi kemas beda',Opportunity
1546,'bangun bendung paselloreng harap selesai',Opportunity
1547,'butuh sinergi perintah pusat daerah sukses unbk siak',Opportunity
1559,'wapres resmi gerai pmi manado',Opportunity
1565,'bangun bendung paselloreng harap selesai',Opportunity
1566,'butuh sinergi perintah pusat daerah sukses unbk siak',Opportunity
1578,'wapres resmi gerai pmi manado',Opportunity
1584,'bangun bendung paselloreng harap selesai',Opportunity
1585,'butuh sinergi perintah pusat daerah sukses unbk siak',Opportunity
1597,'wapres resmi gerai pmi manado',Opportunity
269,'polisi tangkap selundup sabu-sabu lewat anus lapas ciamis',Threat
275,'toko ponsel mojokerto bobol curi rugi rp juta',Threat
277,'polisi siaga lokasi bekas bentrok geng motor cimahi',Threat
282,'bentrok kelompok motor cimahi orang luka',Threat
285,'mobil rombong pengantin guling tanjak panganten garut',Threat
297,'butuh jam padam api lahap gedung undar jombang',Threat
298,'puluh ajar sd sukabumi racun bubur gratis',Threat
300,'gedung fakultas ilmu didik undar jombang bakar',Threat
301,'stasiun tawang semarang genang air',Threat
307,'pek jembatan bojonegoro ambruk warga sulit akses',Threat
308,'hujan angin kencang landa semarang jumlah pohon tumbang',Threat
309,'trauma warga lumpur sidoarjo tolak bor baru',Threat
312,'dishub jatim tegas bijak ganjil genap wacana',Threat
313,'dor garong motor bandung sungkur tembak',Threat
317,'titik rawan bencana tugas ka siaga natal tahun baru',Threat
327,'angin kencang terjang lereng rapi boyolali puluh rumah rusak',Threat
335,'puluh rumah wonosoco kudus terjang banjir bandang',Threat
336,'motor curi pamer mapolres indramayu',Threat
344,'longsor jadi trenggalek rincian rusa',Threat
357,'sungai cisarua sukabumi luap rumah warga rendam',Threat
360,'tawur ajar cirebon polisi minta sekolah tindak tegas',Threat
462,'sering dengar musik pakai earphone tidur bahaya',Threat
473,'casing ponsel simpan bakteri hampir kali lebih banyak duduk toilet',Threat
477,'perlu jasa fotografi traveling',Threat
489,'kenal sleep texting ganggu tidur buat kirim pesan sadar',Threat
1544,'tak situ tangerang selatan sertifikat',Threat
1545,'kartu merah pemkot tangsel hari air dunia',Threat
1548,'ribu rumah mamuju rendam banjir',Threat
1563,'tak situ tangerang selatan sertifikat',Threat
1564,'kartu merah pemkot tangsel hari air dunia',Threat
1567,'ribu rumah mamuju rendam banjir',Threat
1582,'tak situ tangerang selatan sertifikat',Threat
1583,'kartu merah pemkot tangsel hari air dunia',Threat
1586,'ribu rumah mamuju rendam banjir',Threat
257,'tuding intervensi muktamar abdul mu ti info pak amien tak akurat',None
259,'mendagri nonton wayang kulit yogya lakon sengkuni gugur',None
260,'bikin sapu tanggung sandi buat sih kotor negara',None
261,'tim alpha deklarasi dukung siap menang jokowi jateng',None
262,'pilpres armageddon mahfud md nakut-nakutin aja pak amien',None
264,'donasi palu-donggala pasca menhub abdee lelang gitar',None
265,'pohon tumbang jalur pantura kudus-pati sempat macet jam',None
266,'imbau kader ikut reuni pks diy tak urus politik',None
267,'imbau partai kader pks diy jakarta ikut reuni',None
268,'teleskop zeiss besar milik boscha kini usia tahun',None
270,'mobil chevrolet seret ka sri tanjung tiga tumpang luka',None
271,'mau lapor tommy soeharto ratus acara bela basarah',None
272,'peleset ajar smp tewas tenggelam taman angsa',None
274,'kata mendagri soal isu intervensi muktamar pemuda muhammadiyah',None
276,'kaget banyak tak kenal prabowo sandiaga jadi laku',None
278,'evakuasi mahasiswa papua rampung begini situasi jalan kalas',None
279,'syahbandar sebut bakar gm gerbang samudra i dek kapal',None
280,'karyawan spbu banyuwangi tangkap salahgunakan bbm subsidi',None
281,'mahasiswa papua hasil evakuasi jalan kalas buka',None
283,'polisi aman wna australia asrama mahasiswa papua',None
284,'santri ponpes lumajang tewas tenggelam sih septi tank',None
