@relation training_politik

@attribute id_training_data numeric
@attribute term string
@attribute training_class {Opportunity,Threat,None}

@data
1149,'emak-emak kerah jadi jubir prabowo-sandi',Opportunity
1186,'ingat ulang tahun hanura santun ribu anak yatim',Opportunity
1374,'bpn prabowo-sandi indonesia punya ekspor andal',Opportunity
1375,'bima arya apresiasi bijak infrastruktur jokowi',Opportunity
1376,'bpn prabowo-sandi aku terima negara lebih target',Opportunity
1410,'milenial tantang kembang industri pop kultur indonesia',Opportunity
1422,'erick mimpi indonesia jadi tuan rumah olimpiade',Opportunity
1132,'otto hasibuan potensi rugi negara beli persen saham freeport',Threat
1133,'dpr minta bmkg bnpb lebih teliti',Threat
1137,'generasi datang harus pontang-panting bayar utang beli freeport',Threat
1140,'anak krakatau erupsi sby minta warga tetap waspada',Threat
1134,'soal freeport pan sila nilai sendiri pro rakyat tidak',None
1135,'jk ikut jejak keliru la nyalla',None
1136,'kalau pilih caleg pdip tekad wakaf gaji koperasi',None
1138,'sby jadi mentor prabowo selang lebih maju jokowi',None
1139,'nyata sby tak perlu tanggap lebih',None
1141,'ikut ijtima ulama alas caleg pbb dukung prabowo-sandi',None
1142,'satgas dokling prabowo sapa segera terjun lokasi bencana',None
1143,'punya tugas tuntas kasus tni-polri boleh tarik papua',None
1144,'ketua knpi pilih bakal jaga daya kritis pemuda',None
1145,'dirut pt inalum bungkam tompi sok gonggong rizal ramli',None
1146,'sby post power syndrome demokrat aria bima tegur megawati',None
1147,'menpora henti dualisme tubuh knpi',None
1148,'beberapa faktor jokowi bakal tinggal jauh lawan',None
1150,'gerindra aku potensi ganggu koalisi usung prabowo',None
1151,'perintah jokowi jangan asal klaim bangun infrastruktur',None
1152,'cegah curang rawan prabowo-sandi laku awas ketat',None
1153,'indonesia punya pandang sendiri soal krisis uighur',None
1154,'milik saham freeport bukti indonesia punah',None
1155,'semua orang tahu jokowi presiden penuh citra',None
1156,'soal freeport saran rizal ramli abai presiden jokowi',None
1157,'dino patti djalal caleg punya pribadi politik',None
1158,'putra ma ruf amin ajak rakyat tanam obat satu',None
1159,'yel prabowo-sandi menang ala emak emak awal diskusi raya hari ibu',None
1160,'ylki negara mana ada kategori kelas krl',None
1161,'presiden pks jangan pikir jadi politis kaya raya',None
1162,'menang tipis tum knpi pilih haris pertama ajak okp satu',None
1163,'prananda paloh gus dur tauladan politik manusia',None
1164,'sekjen demokrat jangan asal klaim infrastruktur bisa simsalabim',None
1165,'petinggi pks temu anggota kongres as bahas masalah ham',None
1166,'wakil ketua bpn temu prabowo-sby efek besar',None
1167,'fahri komentar foto cak imin bareng puan hijab',None
1168,'temu akrab prabowo sby tanda ganti presiden makin dekat',None
1169,'oso atur bk dpd laku semua anggota',None
1170,'demokrat arah jari tangan sby pasti jangan olah',None
1171,'hinca demokrat lari kencang topang koalisi adil makmur',None
1172,'usai deklarasi mcm segera ajak jokowi keliling masjid',None
