"id_training_data";"id_berita";"id_topik";"berita";"training_class"
"5451";"1";"1";"orang indikasi timbun longsor sukabumi";"None"
"5452";"2";"1";"tabrak karambol sukoharjo orang bocah tewas";"None"
"5453";"3";"1";"detik bapak anak tewas tenggelam jurug gue";"None"
"5454";"4";"1";"polisi steril akses area longsor kampung adat sukabumi";"None"
"5455";"5";"1";"peras sekdes kades lamongan kena ott";"None"
"5456";"6";"1";"ziarah makam sandiaga teladan sifat sunan ampel";"None"
"5457";"7";"1";"cuaca buruk banyak wisatawan karimunjawa tak pulang";"None"
"5458";"8";"1";"libur tahun baru wahana wisata surabaya ramai serbu warga";"None"
"5459";"9";"1";"janji baik jalan tpst piyungan aksi blokir setop";"None"
"5460";"10";"1";"wisatawan tewas tenggelam jurug gue bapak anak";"None"
"5461";"11";"1";"sar ombak pantai gunungkidul aman wisatawan";"None"
"5462";"12";"1";"jumlah tumpang bandara yogya lama tembus juta orang";"None"
"5463";"13";"1";"polda jabar kirim tim dvi identifikasi korban longsor sukabumi";"None"
"5464";"14";"1";"laut warga hambat tim cari korban longsor sukabumi";"None"
"5465";"15";"1";"sandiaga beri motivasi emak-emak laku umkm surabaya";"None"
"5466";"16";"1";"henti korban tewas longsor sukabumi orang";"None"
"5467";"17";"1";"seniman muda banyuwangi undang tampil festival janadriyah";"None"
"5468";"18";"1";"tiga wisatawan tewas tenggelam air terjun jurug gue trenggalek";"None"
"5469";"19";"1";"video hubung intim ancam sebar wanita suam peras kasih";"None"
"5470";"20";"1";"sowan ponpes sidoarjo sandi wejang tingkat ekonomi umat";"None"
"5471";"21";"1";"respons denden soal pecat golkar garut gegara dukung prabowo";"None"
"5472";"22";"1";"bnpb tinggal jiwa temu";"None"
"5473";"23";"1";"kasus aborsi bojonegoro orang pria aman";"None"
"5474";"24";"1";"pemda diy segera baik jalan rusak tpst piyungan";"None"
"5475";"25";"1";"besuk sandiaga kades dukung pak sandi jangan kendor";"None"
"5476";"26";"1";"kagum drone bikin ajar smk sandiaga baru milenial";"None"
"5477";"27";"1";"dampak tsunami target kunjung wisata gunungkidul gagal";"None"
"5478";"28";"1";"moratorium cabut pemkot yogya buka izin bangun hotel";"None"
"5479";"29";"1";"bulan polisi lumajang tembak kaki laku jahat";"None"
"5480";"30";"1";"tingkat inflasi kota diri tahun sebut rendah se-jawa bal";"None"
"5481";"31";"1";"napi asal nigeria tinggal lapas misan nusakambangan";"None"
"5482";"32";"1";"mahasiswa kabar kerja paksa taiwan tak lewat kemenristek";"None"
"5483";"33";"1";"detik ajar sidoarjo kubur bayi hidup";"None"
"5484";"34";"1";"kabar duka paman presiden jokowi tinggal jeddah";"None"
"5485";"35";"1";"hii mayat pria kepala temu pantai malang selatan";"None"
"5486";"36";"1";"sandi sawer dukung surabaya rp juta";"None"
"5487";"37";"1";"kades pidana milu besuk sandiaga istri ikut semangat";"None"
"5488";"38";"1";"cerita ayah-anak selamat longsor terjang kampung adat";"None"
"5489";"39";"1";"begal curi motor pasuruan marak panjang";"None"
"5490";"40";"1";"tolak temu ori kait duga perkosa rektor ugm beri jelas";"None"
"5491";"41";"1";"satgas padu pulih trauma korban selamat longsor sukabumi";"None"
"5492";"42";"1";"polisi selidik duga korupsi bangun jembatan garut";"None"
"5493";"43";"1";"warga banjarnegara jebak banjir baik alat berat";"None"
"5494";"44";"1";"janji ridwan kamil duka nestapa kakak-adik korban longsor";"None"
"5495";"45";"1";"gagal bawa kabur hasil curi maling motor kritis massa";"None"
"5496";"46";"1";"perkosa anak tiri pria cuma menang depan polisi";"None"
"5497";"47";"1";"tugas angkat mayat timbun longsor kampung adat sukabumi";"None"
"5498";"48";"1";"banyuwangi gandeng bumn kembang kaum milenial pesantren";"None"
"5499";"49";"1";"motor seruduk mobil pasutri jatuh lalu tewas lindas truk";"None"
"5500";"50";"1";"janji tagih dagang pasar tunjung begini respons pd pasar surya";"None"
"5501";"51";"1";"kemenristek rapat hadap era disrupsi siap sdm millenial";"None"
"5502";"52";"1";"warga surabaya tewas usai pesta miras oplos malam tahun baru";"None"
"5503";"53";"1";"turun ojek konvensional wonosobo tolak ojol";"None"
"5504";"54";"1";"detik pasang mahasiswi-santri diri buang bayi";"None"
"5505";"55";"1";"dagang pasar tunjung tagih janji pemkot surabaya";"None"
"5506";"56";"1";"kuliah luar negeri saran komunikasi kemenristek";"None"
"5507";"57";"1";"hasan aminuddin dengar sendiri jokowi lantun baca salat";"None"
"5508";"58";"1";"jelang dhaup ageng masjid pakualaman gelar doa sama";"None"
"5509";"59";"1";"bus vs truk banyuwangi tiga orang luka";"None"
"5510";"60";"1";"rusa nisan magelang gubernur ganjar lapor polisi";"None"
"5511";"61";"1";"ganjar sktm laku terima siswa baru";"None"
"5512";"62";"1";"mayat temu tugas cari korban longsor sukabumi";"None"
"5513";"63";"1";"ridwan kamil rotasi jabat pemprov jabar";"None"
"5514";"64";"1";"pks tak hirau garbi muncul jabar";"None"
"5515";"65";"1";"survei ssi warga diri pilih jokowi-ma ruf amin";"None"
"5516";"66";"1";"mahasiswa kerja paksa taiwan menristek main sana";"None"
"5517";"67";"1";"ketua dpc gerindra bondowoso jadi sangka tipu rp juta";"None"
"5518";"68";"1";"berkah nurhadi jadi capres dagel order kaos lonjak";"None"
"5519";"69";"1";"catat seleksi masuk ptn tahun akan ubah jadi begini";"None"
"5520";"70";"1";"mobil isi orang guling jalur batu-mojokerto tewas";"None"
"5521";"71";"1";"akun medsos lapor polda diy soal surat suara coblos";"None"
"5522";"72";"1";"unit bus suroboyo baru resmi luncur";"None"
"5523";"73";"1";"remaja putus sekolah laku klithih tangkap sleman";"None"
"5524";"74";"1";"gali basemen rs siloam uruk izin proyek ulang";"None"
"5525";"75";"1";"modal rp juta staf bpbd banjarnegara rakit dektektor longsor";"None"
"5526";"76";"1";"warga tak terima culik ajar magetan damai alas";"None"
"5527";"77";"1";"jelang dhaup ageng pakualaman tradisi midodareni gelar malam";"None"
"5528";"78";"1";"bas rumah banyuwangi rendam air sungai luap";"None"
"5529";"79";"1";"raja yogya solo ikut prosesi siram dhaup ageng";"None"
"5530";"80";"1";"proyek bayar puluh rekan dinkes jember adu dewan";"None"
"5531";"81";"1";"sisa orang temu lokasi longsor kampung adat";"None"
"5532";"82";"1";"lelaki identitas gantung diri gudang majun bandung";"None"
"5533";"83";"1";"kendala cari hari empat daki hilang gunung lawu";"None"
"5534";"84";"1";"milenial gabung ppp optimistis raih kursi dprd jabar";"None"
"5535";"85";"1";"jadi hujan abu kawasan rapi begini jelas bpptkg";"None"
"5536";"86";"1";"soal putus kontrak bpjs-rs komisi ix tanya akreditasi";"None"
"5537";"87";"1";"pemkot surabaya cantik kawasan cagar budaya";"None"
"5538";"88";"1";"kabupaten jatim rawan tsunami kapolda gelar simulasi";"None"
"5539";"89";"1";"polisi usak nisan magelang laku tunggal";"None"
"5540";"90";"1";"tugas angkat mayat wanita timbun batu area longsor";"None"
"5541";"91";"1";"tarif prostitusi online artis va capai rp juta";"None"
"5542";"92";"1";"muncul spanduk mahasiswa-alumni ugm desak andi arief tangkap";"None"
"5543";"93";"1";"artis tangkap jaring prostitusi online va af";"None"
"5544";"94";"1";"polda jatim bongkar prostitusi online libat artis";"None"
"5545";"95";"1";"laku rusa nisan magelang eks pasien rumah sakit jiwa";"None"
