@relation training_teknologi

@attribute id_training_data numeric
@attribute term string
@attribute training_class {Opportunity,Threat,None}

@data
1,'tampak xiaomi mi mix edisi khusus harga rp juta',Opportunity
3,'microsoft segar ikon office',Opportunity
6,'sambut harbolnas xiaomi pangkas harga ponselnya',Opportunity
10,'tampak gfx r kamera medium format anyar fujifilm',Opportunity
13,'layan transportasi grab klaim nomor satu fintech',Opportunity
15,'main fortnite hampir tara duduk indonesia',Opportunity
16,'postingan ig stories kini lebih personal',Opportunity
17,'unboxing google pixel ponsel mungil kamera mumpuni',Opportunity
19,'smartfren siap hadir bundling iphone xs xs max xr',Opportunity
20,'ponsel masa depan sony layar lipat transparan',Opportunity
36,'sasar milenial doyan selfie begini tampak realme u',Opportunity
38,'isi baterai oppo r pro cepat dunia',Opportunity
39,'ekspansi singapura go-jek pilih tak ganti nama',Opportunity
40,'realme u tak cuma andal selfie',Opportunity
41,'pubg mobile tembus juta download',Opportunity
42,'vivo v fairy pink sambut natal tahun baru',Opportunity
45,'unboxing headphone premium rp juta',Opportunity
55,'microsoft bakal rilis perangkat layar lipat nama andromeda',Opportunity
60,'bagaimana banding tarif go-jek grab singapura',Opportunity
65,'tampil cantik vivo x symphony edition',Opportunity
66,'telkomsel dukung digitalisasi uri',Opportunity
68,'deret hasil jepret iphone xr',Opportunity
70,'dia ponsel google assistant harga rp ribu',Opportunity
71,'asyik pesan go-jek suruh google assistant',Opportunity
73,'update os pixel baik masalah manajemen ram',Opportunity
74,'catat tanggal asus rilis ponsel gaming sekaligus',Opportunity
76,'kini pesan ojek online pakai google assistant',Opportunity
77,'cari lowong kerja tanya mbah google aja',Opportunity
80,'go-jek ada ribu driver singapura',Opportunity
81,'cuma rp ribu tampil ponsel jual google',Opportunity
82,'qualcomm tech summit g nyata',Opportunity
90,'murah google kenal ponsel rp ribu',Opportunity
91,'canggih begini jadi kalau kota rang pakai iot',Opportunity
92,'ini desain kamera galaxy s',Opportunity
93,'apple tunggu rilis iphone g',Opportunity
94,'wow tiktok jadi aplikasi baik pilih',Opportunity
96,'edar bocor varian plus ultra galaxy s',Opportunity
97,'tumblr blokir konten porno mulai desember',Opportunity
99,'unboxing realme u ponsel buat generasi selfie',Opportunity
100,'pokemon go bakal punya mode pvp',Opportunity
101,'lenovo ikut garap ponsel layar bolong',Opportunity
102,'kok pakai charger logo oppo realme',Opportunity
103,'samsung raja huawei tumbuh signifikan',Opportunity
105,'galaxy as lubang kamera layar segera rilis',Opportunity
108,'tiktok jadi aplikasi baik play store',Opportunity
111,'kamera ponsel anyar huawei bikin foto d',Opportunity
112,'begini cara twitter bikin netizen nyaman',Opportunity
117,'vivo buka experience store pertama indonesia',Opportunity
123,'rilis ponsel g samsung gaet qualcomm verizon',Opportunity
127,'kamera iphone x xs kalah pocophone blackberry',Opportunity
128,'layan sewa sepeda listrik kini sapa jakarta',Opportunity
130,'karyawan apple minta fokus jual trio iphone baru',Opportunity
133,'cara beli gadget idam buat anak kosan kantong pas',Opportunity
134,'samsung malaysia tahu pakai foto dslr iklan ponsel',Opportunity
137,'salip apple xiaomi jadi raja wearable',Opportunity
138,'go-jek turun harga grab mau ikut',Opportunity
141,'tampak snapdragon lebih kecil koin rp',Opportunity
143,'google ajak maju indonesia rame-rame',Opportunity
145,'snapdragon umum smartphone g datang',Opportunity
146,'airpods jadi aksesoris apple paling populer',Opportunity
147,'google go aplikasi cari jaring internet lambat',Opportunity
152,'ancam serius mobile gaming buat game konsol',Opportunity
156,'pubg mulai langkah fortnite',Opportunity
159,'akhir warga kuba akses internet ponsel',Opportunity
161,'bos xiaomi pamer ponsel kamera mp',Opportunity
164,'asus zenfone max pro m punya tampil premium',Opportunity
165,'asik edisi batas vivo v fairy pink resmi pasar',Opportunity
166,'bagai negara siap bareng adopsi g',Opportunity
172,'rilis snapdragon cx laptop qualcomm usik intel',Opportunity
175,'qualcomm tahun g',Opportunity
178,'spek lengkap zenfone max m zenfone max pro m',Opportunity
179,'horor pearl harbour tahun lalu balik lensa kamera',Opportunity
180,'sedia g lte indonesia tingkat signifikan',Opportunity
182,'yuk lihat iphone xr segera rilis resmi indonesia',Opportunity
186,'perempuan hobi main game ponsel data',Opportunity
188,'tampak iphone xs max harga rp juta',Opportunity
190,'oppo guyur rp triliun riset kembang',Opportunity
192,'harga iphone xs xs max xr resmi indonesia',Opportunity
403,'google doodle tampil pahlawan perempuan indonesia asal minahasa maria walanda maramis',Opportunity
406,'iphone xs xs max xr bakal masuk indonesia',Opportunity
407,'windows bakal mati fitur anti sadap suara',Opportunity
409,'galaxy fold jadi nama ponsel lipat samsung',Opportunity
411,'ini wujud mobile led screen pertama indonesia',Opportunity
412,'ponsel ram hingga gb',Opportunity
417,'adopsi apple ios lebih cepat ketimbang ios',Opportunity
423,'saing samsung sony bikin ponsel lipat layar transparan',Opportunity
425,'google search mudah cari lowong kerja',Opportunity
426,'google hadir ponsel rp ribu wizphone fiturnya',Opportunity
427,'youtuber usia tahun milik hasil rp miliar',Opportunity
428,'asus rog phone siap luncur desember spesifikasi',Opportunity
429,'asisten google luncur ponsel murah wizphone',Opportunity
430,'google beri latih juta ukm hingga',Opportunity
433,'rilis desember bocor zenfone max pro m',Opportunity
434,'snapdragon deret teknologi pamer qualcomm',Opportunity
435,'tips charging ponsel awet',Opportunity
437,'xperia xz jadi ponsel pertama cicip snapdragon',Opportunity
438,'jaring g lahir transisi teknologi besar tantang',Opportunity
439,'cara pubg mobile lancar main ponsel',Opportunity
440,'update fortnite tambah kendara senjata custom',Opportunity
442,'spesifikasi asus rog zephyrus s desain tipis',Opportunity
444,'oneplus baru bakal dukung g snapdragon',Opportunity
445,'baru punya smartphone android hal perlu perhati',Opportunity
446,'desember ici apstv siap gelar idcon',Opportunity
449,'apple watch series hadir fitur monitor detak jantung',Opportunity
452,'rilis rusia harga zenfone max pro m',Opportunity
453,'daftar ponsel gaming baik',Opportunity
456,'google tambah fitur smart reply hangouts chat',Opportunity
457,'apple rilis alat lacak gera tubuh guna tidur',Opportunity
458,'god of war nobat jadi game baik',Opportunity
459,'facebook hadir fitur live shopping',Opportunity
460,'nasa insight tangkap suara angin pertama kali mars',Opportunity
747,'begini cara hapus program jahat android',Opportunity
751,'mediatek sesumbar chip hio p bakal ikan terobos ai',Opportunity
753,'rupilah aplikasi buang sampah jadi rupiah buat mahasiswa semarang',Opportunity
755,'fitur close friends instagram stories kini pakai semua',Opportunity
756,'prediksi jadwal rilis fitur apple airpods ikut',Opportunity
757,'galaxy as layar infinity-o masuk sertifikasi',Opportunity
761,'jelang harbolnas xiaomi diskon harga redmi redmi s',Opportunity
763,'tiga operator korea selatan serentak luncur jaring g',Opportunity
766,'samsung tahu promosi galaxy note pakai iphone',Opportunity
767,'ponsel wizphone os google jual alfamart rp',Opportunity
768,'game command conquer rivals resmi rilis android ios',Opportunity
769,'tulis tangan steve jobs lelang rp juta',Opportunity
770,'ponsel layar vivo nex nongol video',Opportunity
774,'sony bikin ponsel lipat layar tembus pandang',Opportunity
775,'sharebuy konsep belanja online keroyokan jd id harbolnas',Opportunity
776,'office ikon windows akan rombak',Opportunity
778,'janji hapus konten porno tumblr bakal akses indonesia',Opportunity
779,'twitter lite klaim dongkrak jumlah di indonesia',Opportunity
785,'spesifikasi asus zenfone max m max pro m',Opportunity
787,'bocor dokumen ungkap nama ponsel layar lipat samsung',Opportunity
788,'google go aplikasi cari ringan irit internet',Opportunity
789,'tumblr akhir blokir konten pornografi mulai desember',Opportunity
790,'begini cara google dukung ekonomi digital indonesia',Opportunity
791,'google rilis fitur cari lowong kerja',Opportunity
793,'bose bikin kacamata pintar fitur audio ar',Opportunity
794,'google baik masalah foto tak simpan android pixel',Opportunity
795,'snapdragon teknologi g apa',Opportunity
796,'pocophone f kini rekam video slow motion lebih halus',Opportunity
799,'nokia resmi luncur harga rp juta',Opportunity
801,'youtube android tembus miliar unduh',Opportunity
802,'whatsapp mulai sebar tablet android',Opportunity
803,'iphone g baru hadir',Opportunity
804,'apa lebih dana banding aplikasi dompet digital',Opportunity
806,'samsung paten smartwatch pindai sidik jari layar',Opportunity
808,'tahun huawei lengser samsung',Opportunity
813,'harga oppo a indonesia turun jelang harbolnas',Opportunity
814,'xiaomi unggul apple berkat mi band',Opportunity
816,'xiaomi siap ponsel kamera megapiksel luncur januari',Opportunity
820,'harga resmi iphone xr xs xs max indonesia',Opportunity
821,'samsung turun apple stagnan vendor smartphone china tanjak',Opportunity
823,'pandora gelar rekomendasi podcast android ios',Opportunity
825,'hp luncur jajar printer laptop laku ukm',Opportunity
1039,'spotify uji ubah antarmuka baru',Opportunity
1040,'aplikasi media sosial bikin remaja percaya diri',Opportunity
1041,'google batas akses karyawan proyek dragonfly',Opportunity
1044,'huawei mate siap rilis indonesia',Opportunity
1051,'airpods charger nirkabel rilis q',Opportunity
1052,'samsung galaxy s plus bekal kamera depan ganda',Opportunity
1057,'ponsel lipat microsoft luncur',Opportunity
1062,'apple music beta mulai dukung tablet android',Opportunity
1064,'wearable jadi alat medis',Opportunity
1065,'vainglory bakal dukung cross-platform',Opportunity
1066,'kelola jaring bisnis lebih gampang pakai netgear insight',Opportunity
1067,'ponsel rp ribu google pasar indonesia',Opportunity
1068,'bina startup tahap lanjut jadi tema gsi scale con',Opportunity
1069,'lg boyong monitor k pertama indonesia',Opportunity
1070,'cara google bantu masyarakat era ekonomi digital',Opportunity
1071,'xiaomi redmi note pro warna lebih keren harga tarik',Opportunity
1072,'google ajak gotong royong maju indonesia',Opportunity
1073,'serang siber lambat transformasi digital asia pasifik',Opportunity
1074,'zebra technologies bawa komputasi mobile enterprise layar sentuh',Opportunity
1075,'g jadi fokus qualcomm tech summit',Opportunity
1076,'samsung galaxy as huawei nova siap muncul',Opportunity
1077,'google photos dukung mode backup express',Opportunity
1080,'huawei pamer emui pakai android pie',Opportunity
