"berita","id","kelas"
"tampak xiaomi mi mix edisi khusus harga rp juta","1","opportunity"
"usaha tarung tawar misi bulan","2","threat"
"microsoft segar ikon office","3","opportunity"
"startup bandung masuk final kompetisi pitching asia pasifik","4","threat"
"tangan kreatif sang ayah sulap coret anak jadi keren","5","threat"
"sambut harbolnas xiaomi pangkas harga ponselnya","6","opportunity"
"menristek beri lampu hijau kampus buka prodi esport","7","threat"
"google pensiun hangouts","8","threat"
"worldaidsday ingat netizen dunia","9","none"
"tampak gfx r kamera medium format anyar fujifilm","10","opportunity"
"kepala bssn masyarakat media sosial santun baik","11","none"
"ponsel baru nokia bakal lahir india","12","threat"
"layan transportasi grab klaim nomor satu fintech","13","opportunity"
"bak bunglon wanita bisa tiru agam karakter","14","none"
"main fortnite hampir tara duduk indonesia","15","opportunity"
"postingan ig stories kini lebih personal","16","opportunity"
"unboxing google pixel ponsel mungil kamera mumpuni","17","opportunity"
"juta data tamu hotel marriott bobol hacker","18","threat"
"smartfren siap hadir bundling iphone xs xs max xr","19","opportunity"
"ponsel masa depan sony layar lipat transparan","20","opportunity"
"aksi pertama bill gates kala jadi triliuner lunas kpr","21","none"
"virgin galatic siap terbang manusia antariksa","22","threat"
"indosat bantah kirim sms waspada reuni","23","threat"
"delapan tips jitu deteksi hoax ala kepala bssn","24","threat"
"teradata vantage rilis apa unggul","25","none"
"wah apple iphone xr gratis","26","threat"
"robot jadi layan kafe kendali orang lumpuh","27","none"
"potret reinkarnasi tokoh kenal dunia","28","none"
"tahun microsoft indonesia","29","threat"
"ramai guyon kocak andainikahankum","30","none"
"tabur berlian apple watch banderol rp juta","31","threat"
"korsel gelar jaring g komersial pertama dunia","32","threat"
"sama manusia robot bisa baper","33","threat"
"reuniakbardimonas puncak trending topic","34","none"
"sasar segmen rupa realme realme u tak saling kanibal","35","threat"
"sasar milenial doyan selfie begini tampak realme u","36","opportunity"
"game baik jatuh","37","none"
"isi baterai oppo r pro cepat dunia","38","opportunity"
"ekspansi singapura go-jek pilih tak ganti nama","39","opportunity"
"realme u tak cuma andal selfie","40","opportunity"
"pubg mobile tembus juta download","41","opportunity"
"vivo v fairy pink sambut natal tahun baru","42","opportunity"
