"id_training_data","id_berita","id_topik","berita","trainig_class"
"1","1","4","Penampakan Xiaomi Mi Mix 3 Edisi Khusus Seharga Rp 10 Juta","None"
"2","2","4","9 Perusahaan 'Bertarung' Tawarkan Misi ke Bulan","None"
"3","3","4","Microsoft Segarkan Ikon Office","None"
"4","4","4","Startup Bandung Masuk Final Kompetisi Pitching Asia Pasifik","None"
"5","5","4","Tangan Kreatif Sang Ayah Sulap Coretan Anak Jadi Keren","None"
"6","6","4","Sambut Harbolnas, Xiaomi Pangkas Harga Ponselnya","None"
"7","7","4","Menristek Beri Lampu Hijau Kampus Buka Prodi eSport","None"
"8","8","4","Google Pensiunkan Hangouts di 2020","None"
"9","9","4","#WorldAIDSDay Diperingati Netizen Sedunia","None"
"10","10","4","Penampakan GFX 50R, Kamera Medium Format Anyar Fujifilm","None"
"11","11","4","Kepala BSSN: Masyarakat Bermedia Sosial yang Santun dan Baik","None"
"12","12","4","Ponsel Baru Nokia Bakal Lahir di India","None"
"13","13","4","Selain Layanan Transportasi, Grab Juga Klaim Nomor Satu di Fintech","None"
"14","14","4","Bak Bunglon, Wanita Ini Bisa Tirukan Beragam Karakter","None"
"15","15","4","Pemain Fortnite Hampir Setara Penduduk Indonesia","None"
"16","16","4","Postingan IG Stories Kini Bisa Lebih Personal","None"
"17","17","4","Unboxing Google Pixel 3, Ponsel Mungil Berkamera Mumpuni","None"
"18","18","4","500 Juta Data Tamu Hotel Marriott Dibobol Hacker","None"
"19","19","4","Smartfren Siap Hadirkan Bundling iPhone XS, XS Max dan XR","None"
"20","20","4","Ponsel Masa Depan Sony, Layar Lipat yang Transparan","None"
"21","21","4","Aksi Pertama Bill Gates Kala Jadi Triliuner: Lunasi KPR","None"
"22","22","4","Virgin Galatic Siap Terbangkan Manusia ke Antariksa","None"
"23","23","4","Indosat Bantah Kirimkan SMS Waspada Reuni 212","None"
"24","24","4","Delapan Tips Jitu Deteksi Hoax ala Kepala BSSN","None"
"25","25","4","Teradata Vantage Dirilis, Apa Saja Keunggulannya?","None"
"26","26","4","Wah! Apple Bagi-bagi iPhone XR Gratis","None"
"27","27","4","Robot Jadi Pelayan Kafe yang Dikendalikan Orang Lumpuh","None"
"28","28","4","Potret 'Reinkarnasi' Para Tokoh Terkenal Dunia","None"
"29","29","4","23 Tahun Microsoft di Indonesia","None"
"30","30","4","Ramai Guyonan Kocak #AndaiNikahanku10M","None"
"31","31","4","Bertabur Berlian, Apple Watch 4 Ini Dibanderol Rp 630 Juta!","None"
"32","32","4","Korsel Gelar Jaringan 5G Komersial Pertama di Dunia","None"
"33","33","4","Sama Seperti Manusia, Robot Juga Bisa Baper","None"
"34","34","4","#ReuniAkbar212diMonas Puncaki Trending Topic","None"
"35","35","4","Sasar Segmen Serupa, Realme 2 dan Realme U1 tak Saling Kanibal?","None"
"36","36","4","Menyasar Milenial yang Doyan Selfie, Begini Penampakan Realme U1","None"
"37","37","4","Game Terbaik 2018 Jatuh Pada...","None"
"38","38","4","Pengisian Baterai Oppo R17 Pro Tercepat di Dunia","None"
"39","39","4","Ekspansi ke Singapura, Go-Jek Pilih Tak Ganti Nama","None"
"40","40","4","Realme U1 Tak Cuma Andalkan Selfie","None"
"41","41","4","PUBG Mobile Tembus 200 Juta Download","None"
"42","42","4","Ada Vivo V11 Fairy Pink untuk Sambut Natal & Tahun Baru","None"
"43","43","4","Agar Toko Online Laku, Ini Tipsnya","None"
"44","44","4","Ini Alasan Go-Jek Ganti Logo","None"
"45","45","4","Unboxing Headphone Premium Rp 6 Jutaan","None"
"46","46","4","Pengguna LG G7 ThinQ Keluhkan Bootloop","None"
"47","47","4","Pertama di Dunia! Jepang Siaran TV 8K","None"
"48","48","4","Google: Hangouts Tak Akan Ditutup","None"
"49","49","4","Hajatan Elektronik ICEE Indonesia 2018 Digelar, Ada Apa Saja?","None"
"50","50","4","Mau Jalan-jalan ke Luar Angkasa? NASA Jual Tiketnya","None"
"51","51","4","Jejak Ponsel Gionee yang Bangkrut Karena Judi","None"
"52","52","4","Ketika Samsung Terciduk Nge-tweet Pakai iPhone","None"
"53","53","4","Roket Soyuz Siap Antar Astronot ke Stasiun Antariksa","None"
"54","54","4","Pengakuan Bos Gionee Judi Triliunan Pakai Duit Perusahaan","None"
"55","55","4","Microsoft Bakal Rilis Perangkat Layar Lipat Bernama Andromeda","None"
"56","56","4","Prediksi Kejahatan Pakai AI, Film 'Minority Report' Jadi Nyata?","None"
