"id_training_data";"id_berita";"id_topik";"berita";"training_class"
"1";"1";"4";"tampak xiaomi mi mix edisi khusus harga rp juta";"Opportunity"
"3";"3";"4";"microsoft segar ikon office";"Opportunity"
"6";"6";"4";"sambut harbolnas xiaomi pangkas harga ponselnya";"Opportunity"
"10";"10";"4";"tampak gfx r kamera medium format anyar fujifilm";"Opportunity"
"13";"13";"4";"layan transportasi grab klaim nomor satu fintech";"Opportunity"
"15";"15";"4";"main fortnite hampir tara duduk indonesia";"Opportunity"
"16";"16";"4";"postingan ig stories kini lebih personal";"Opportunity"
"17";"17";"4";"unboxing google pixel ponsel mungil kamera mumpuni";"Opportunity"
"19";"19";"4";"smartfren siap hadir bundling iphone xs xs max xr";"Opportunity"
"20";"20";"4";"ponsel masa depan sony layar lipat transparan";"Opportunity"
"36";"36";"4";"sasar milenial doyan selfie begini tampak realme u";"Opportunity"
"38";"38";"4";"isi baterai oppo r pro cepat dunia";"Opportunity"
"39";"39";"4";"ekspansi singapura go-jek pilih tak ganti nama";"Opportunity"
"40";"40";"4";"realme u tak cuma andal selfie";"Opportunity"
"41";"41";"4";"pubg mobile tembus juta download";"Opportunity"
"42";"42";"4";"vivo v fairy pink sambut natal tahun baru";"Opportunity"
"45";"45";"4";"unboxing headphone premium rp juta";"Opportunity"
"55";"55";"4";"microsoft bakal rilis perangkat layar lipat nama andromeda";"Opportunity"
"60";"60";"4";"bagaimana banding tarif go-jek grab singapura";"Opportunity"
"65";"65";"4";"tampil cantik vivo x symphony edition";"Opportunity"
"66";"66";"4";"telkomsel dukung digitalisasi uri";"Opportunity"
"68";"68";"4";"deret hasil jepret iphone xr";"Opportunity"
"70";"70";"4";"dia ponsel google assistant harga rp ribu";"Opportunity"
"71";"71";"4";"asyik pesan go-jek suruh google assistant";"Opportunity"
"73";"73";"4";"update os pixel baik masalah manajemen ram";"Opportunity"
"74";"74";"4";"catat tanggal asus rilis ponsel gaming sekaligus";"Opportunity"
"76";"76";"4";"kini pesan ojek online pakai google assistant";"Opportunity"
"77";"77";"4";"cari lowong kerja tanya mbah google aja";"Opportunity"
"80";"80";"4";"go-jek ada ribu driver singapura";"Opportunity"
"81";"81";"4";"cuma rp ribu tampil ponsel jual google";"Opportunity"
"82";"82";"4";"qualcomm tech summit g nyata";"Opportunity"
"90";"90";"4";"murah google kenal ponsel rp ribu";"Opportunity"
"91";"91";"4";"canggih begini jadi kalau kota rang pakai iot";"Opportunity"
"92";"92";"4";"ini desain kamera galaxy s";"Opportunity"
"93";"93";"4";"apple tunggu rilis iphone g";"Opportunity"
"94";"94";"4";"wow tiktok jadi aplikasi baik pilih";"Opportunity"
"96";"96";"4";"edar bocor varian plus ultra galaxy s";"Opportunity"
"97";"97";"4";"tumblr blokir konten porno mulai desember";"Opportunity"
"99";"99";"4";"unboxing realme u ponsel buat generasi selfie";"Opportunity"
"100";"100";"4";"pokemon go bakal punya mode pvp";"Opportunity"
"101";"101";"4";"lenovo ikut garap ponsel layar bolong";"Opportunity"
"102";"102";"4";"kok pakai charger logo oppo realme";"Opportunity"
"103";"103";"4";"samsung raja huawei tumbuh signifikan";"Opportunity"
"105";"105";"4";"galaxy as lubang kamera layar segera rilis";"Opportunity"
"108";"108";"4";"tiktok jadi aplikasi baik play store";"Opportunity"
"111";"111";"4";"kamera ponsel anyar huawei bikin foto d";"Opportunity"
"112";"112";"4";"begini cara twitter bikin netizen nyaman";"Opportunity"
"117";"117";"4";"vivo buka experience store pertama indonesia";"Opportunity"
"123";"123";"4";"rilis ponsel g samsung gaet qualcomm verizon";"Opportunity"
"127";"127";"4";"kamera iphone x xs kalah pocophone blackberry";"Opportunity"
"128";"128";"4";"layan sewa sepeda listrik kini sapa jakarta";"Opportunity"
"130";"130";"4";"karyawan apple minta fokus jual trio iphone baru";"Opportunity"
"133";"133";"4";"cara beli gadget idam buat anak kosan kantong pas";"Opportunity"
"134";"134";"4";"samsung malaysia tahu pakai foto dslr iklan ponsel";"Opportunity"
"137";"137";"4";"salip apple xiaomi jadi raja wearable";"Opportunity"
"138";"138";"4";"go-jek turun harga grab mau ikut";"Opportunity"
"141";"141";"4";"tampak snapdragon lebih kecil koin rp";"Opportunity"
"143";"143";"4";"google ajak maju indonesia rame-rame";"Opportunity"
"145";"145";"4";"snapdragon umum smartphone g datang";"Opportunity"
"146";"146";"4";"airpods jadi aksesoris apple paling populer";"Opportunity"
"147";"147";"4";"google go aplikasi cari jaring internet lambat";"Opportunity"
"152";"152";"4";"ancam serius mobile gaming buat game konsol";"Opportunity"
"156";"156";"4";"pubg mulai langkah fortnite";"Opportunity"
"159";"159";"4";"akhir warga kuba akses internet ponsel";"Opportunity"
"161";"161";"4";"bos xiaomi pamer ponsel kamera mp";"Opportunity"
"164";"164";"4";"asus zenfone max pro m punya tampil premium";"Opportunity"
"165";"165";"4";"asik edisi batas vivo v fairy pink resmi pasar";"Opportunity"
"166";"166";"4";"bagai negara siap bareng adopsi g";"Opportunity"
"172";"172";"4";"rilis snapdragon cx laptop qualcomm usik intel";"Opportunity"
"175";"175";"4";"qualcomm tahun g";"Opportunity"
"178";"178";"4";"spek lengkap zenfone max m zenfone max pro m";"Opportunity"
"179";"179";"4";"horor pearl harbour tahun lalu balik lensa kamera";"Opportunity"
"180";"180";"4";"sedia g lte indonesia tingkat signifikan";"Opportunity"
"182";"182";"4";"yuk lihat iphone xr segera rilis resmi indonesia";"Opportunity"
"186";"186";"4";"perempuan hobi main game ponsel data";"Opportunity"
"188";"188";"4";"tampak iphone xs max harga rp juta";"Opportunity"
"190";"190";"4";"oppo guyur rp triliun riset kembang";"Opportunity"
"192";"192";"4";"harga iphone xs xs max xr resmi indonesia";"Opportunity"
"195";"307";"2";"tol bocimi hadir kembang industri bogor-sukabumi tingkat";"Opportunity"
"196";"308";"2";"tol sukabumi jadi alternatif wisata warga jakarta";"Opportunity"
"197";"309";"2";"lewat tol ciawi-cigombong menit";"Opportunity"
"199";"311";"2";"sri mulyani teknologi buka akses usaha perempuan";"Opportunity"
"208";"320";"2";"as-china sepakat gencat perang dagang";"Opportunity"
"209";"321";"2";"wall street naik tajam imbas gencat perang dagang";"Opportunity"
"214";"326";"2";"sektor pariwisata target sumbang devisa usd miliar";"Opportunity"
"220";"332";"2";"rupiah kuat rp faktor dukung";"Opportunity"
"226";"338";"2";"gencat perang dagang as-china bawa dampak positif ekonomi indonesia";"Opportunity"
"243";"355";"2";"ihsg naik pekan pertama desember";"Opportunity"
"244";"356";"2";"cadang devisa tingkat sri mulyani terus antisipasi dinamika global";"Opportunity"
"248";"360";"2";"lpei gali peluang kerjasama ekonomi indonesia-afrika";"Opportunity"
"250";"362";"2";"komentar presiden jokowi soal kuat rupiah";"Opportunity"
"258";"370";"6";"mui diy dulu rangka masalah ahok sekarang apa";"Opportunity"
"263";"375";"6";"mahfud md reuni kental nuansa politis biarin";"Opportunity"
"273";"385";"6";"massa reuni asal purwakarta mulai tolak jakarta";"Opportunity"
"288";"400";"6";"rieke ungkap bakal angkat pns tenaga sehat";"Opportunity"
"305";"417";"6";"bbws citarum rencana tambah kolam retensi bandung selatan";"Opportunity"
"321";"433";"6";"reuni hanya gera politik ideologi";"Opportunity"
"323";"435";"6";"ribu nelayan pantura cirebon ganjar asuransi gratis";"Opportunity"
"324";"436";"6";"pemkot usaha ritel sepakat kurang kantong plastik bandung";"Opportunity"
"325";"437";"6";"situs wisata gua pawon masuk prioritas ridwan kamil";"Opportunity"
"328";"440";"6";"reuni nilai gera politik minim edukasi elektoral";"Opportunity"
"337";"449";"6";"ridwan kamil luncur jabar masagi gedung negara cirebon";"Opportunity"
"346";"458";"6";"perintah gelontor rp miliar sungai citarum";"Opportunity"
"348";"460";"6";"pemkot bandung ambil alih kelola pasar baru";"Opportunity"
"349";"461";"6";"pasar kota bandung revitalisasi";"Opportunity"
"359";"471";"6";"klhk usaha indonesia predikat hijau emas";"Opportunity"
"361";"473";"6";"festival kebaya banyuwangi tampil sentuh segar desain";"Opportunity"
"362";"474";"6";"tim jabar saber hoaks gawang milenial";"Opportunity"
"366";"478";"6";"polisi gowes bareng ulama ormas islam jalin silaturahmi";"Opportunity"
"367";"479";"6";"akhir tahun pabrik ka besar indonesia bangun banyuwangi";"Opportunity"
