"id_training_data";"term";"training_class"
"195";"tol bocimi hadir kembang industri bogor-sukabumi tingkat";"Opportunity"
"196";"tol sukabumi jadi alternatif wisata warga jakarta";"Opportunity"
"197";"lewat tol ciawi-cigombong menit";"Opportunity"
"199";"sri mulyani teknologi buka akses usaha perempuan";"Opportunity"
"208";"as-china sepakat gencat perang dagang";"Opportunity"
"209";"wall street naik tajam imbas gencat perang dagang";"Opportunity"
"214";"sektor pariwisata target sumbang devisa usd miliar";"Opportunity"
"220";"rupiah kuat rp faktor dukung";"Opportunity"
"226";"gencat perang dagang as-china bawa dampak positif ekonomi indonesia";"Opportunity"
"243";"ihsg naik pekan pertama desember";"Opportunity"
"244";"cadang devisa tingkat sri mulyani terus antisipasi dinamika global";"Opportunity"
"248";"lpei gali peluang kerjasama ekonomi indonesia-afrika";"Opportunity"
"250";"komentar presiden jokowi soal kuat rupiah";"Opportunity"
"507";"jokowi tahun depan bandara sukabumi mulai bangun";"Opportunity"
"508";"geser apple microsoft jadi usaha paling nila dunia";"Opportunity"
"509";"jual sepeda motor operasional usaha jateng tingkat";"Opportunity"
"519";"survei laku bisnis harap bangun infrastruktur lokal realisasi";"Opportunity"
"520";"reuni tumpang krl lonjak";"Opportunity"
"524";"reuni aksi pola operasi berangkat ka rekayasa";"Opportunity"
"536";"rupiah terus perkasa";"Opportunity"
"537";"temu imf-bank dunia jumlah wisman oktober justru turun";"Opportunity"
"538";"pt kai terjun personel aman angkut natal tahun baru";"Opportunity"
"542";"sentimen eksternal topang kuat rupiah hari";"Opportunity"
"549";"bayar e-commerce naik transaksi kartu kredit tumbuh persen";"Opportunity"
"550";"kredivo sesuai produk pinjam butuh millenial";"Opportunity"
"551";"bank commonwealth luncur kartu debit platinum world";"Opportunity"
"552";"ini jadi daya tarik orang indonesia belanja online";"Opportunity"
"555";"lewat pinjam tunai kredivo bidik millenial";"Opportunity"
"560";"bank mandiri kejar persen dari transaksi harbolnas";"Opportunity"
"561";"kurang tahun dana izin bi";"Opportunity"
"562";"harbolnas gelar hari satu hari khusus produk lokal";"Opportunity"
"568";"harbolnas target raih jumlah transaksi rp triliun";"Opportunity"
"573";"kolaborasi universitas industri kembang sektor uang";"Opportunity"
"574";"mendag tetap daerah tepat ukur daftar";"Opportunity"
"576";"genjot tumbuh ekonomi jakarta bidik ekonomi kreatif pariwisata";"Opportunity"
"577";"bi november optimisme konsumen tingkat";"Opportunity"
"582";"amartha salur rp miliar biaya usaha";"Opportunity"
"587";"mudah transaksi amartha optimal proses tanda tangan digital";"Opportunity"
"588";"bisnis tetap tumbuh tahun politik bidik millenial";"Opportunity"
"602";"pasarpolis hadir asuransi mikro skema unik klaim mudah";"Opportunity"
"607";"milenial jadi investor dominan tawar st-";"Opportunity"
"836";"data dagang pasar saham positif";"Opportunity"
"842";"rupiah angkat kerja sama pemerintah-bi-swasta";"Opportunity"
"847";"tips belanja online buat generasi milenial";"Opportunity"
"849";"danamart siap layan ukm umkm";"Opportunity"
"852";"selesai tol bocimi kabar baik logistik nasional";"Opportunity"
"856";"laku usaha libat bahas regulasi";"Opportunity"
"871";"bekraf dorong startup lantai bursa";"Opportunity"
"872";"rupiah makin kokoh";"Opportunity"
"875";"ojk tumbuh kredit tembus akhir";"Opportunity"
"881";"bi optimistis relaksasi gwm genjot salur kredit";"Opportunity"
"883";"kunjung wisman indonesia oktober capai juta";"Opportunity"
"894";"sasar milenial kredivo luncur pinjam tunai";"Opportunity"
"895";"ekonomi batam target tumbuh";"Opportunity"
"898";"kredivo timbang ekspansi asean";"Opportunity"
"899";"investasi rp triliun lahan tak pakai batam";"Opportunity"
"906";"rupiah ke level rp usd";"Opportunity"
"909";"ojk banyak masyarakat tak paham substansi koperasi";"Opportunity"
"917";"luhut hadap revolusi industri mindset ubah";"Opportunity"
"921";"pemprov peluang milik hak kelola lebih blok rok";"Opportunity"
