"id_training_data";"term";"training_class"
"1513";"izin meikarta sempat bahas kemendagri";"Threat"
"1537";"dalang usak mapolsek ciracas cari";"Threat"
"1312";"ott kemenpora gerindra minta kpk geledah ruang kerja imam nahrawi";"None"
"1313";"suap kemenpora makin bukti ucap prabowo";"None"
"1314";"bareskrim panggil manager madura fc kait atur skor";"None"
"1315";"lapor ali mochtar ngabalin kecewa bareskrim";"None"
"1316";"ott hibah kemenpora kpk desak periksa menteri imam nahrawi";"None"
"1317";"lima sangka suap koni kemenpora tahan rutan pisah";"None"
"1318";"kpk periksa mantan gubernur jabar bagai saksi";"None"
"1319";"duit operasional koni korupsi pegawai bulan tak terima gaji";"None"
"1320";"hakim tipikor cabut hak politik enam legislator malang";"None"
"1321";"pimpin kpk asisten pribadi menpora indikasi punya peran signifikan";"None"
"1322";"asisten pribadi menpora turut periksa kpk";"None"
"1323";"anak buah menteri imam nahrawi minta fee rp miliar";"None"
"1324";"kpk aman uang tunai miliar rupiah buah mobil";"None"
"1325";"komisi iii bakal klarifikasi polri kait sp gunawan jusuf";"None"
"1326";"kpk tetap lima sangka";"None"
"1327";"polisi boleh kalah tuntas kasus aniaya bahar bin smith";"None"
"1328";"langkah orangtua korban lapor bahar bin smith apresiasi";"None"
"1329";"kpk siap status hukum hasil ott kemenpora";"None"
"1330";"presiden jokowi kalah gugat perkara wajib kerja dokter spesialis";"None"
"1331";"bahar bin smith aktor intelektual keroyok remaja";"None"
"1332";"utang negara bukan ranah kpk lapor eggi sudjana tak ditindaklanjuti";"None"
"1333";"bahar bin smith lapor kalau rugi bukan main hakim sendiri";"None"
"1334";"kpk ott banyak panjang sejarah";"None"
"1335";"bahar bin smith suruh korban duel lapang tonton santri";"None"
"1336";"kpk mau terap sanksi korporasi tak ikut lelang";"None"
"1337";"proses hukum rj lino kpk hambat data harga alat bukti";"None"
"1338";"kasus suap paling banyak tangan kpk lama";"None"
"1339";"pimpin kpk lhkpn anggota dewan daerah rendah";"None"
"1340";"edar rekam suara bahar bin smith isi alas aniaya remaja";"None"
"1341";"praperadilan chuck tolak haris azhar janji bongkar duga korupsi jagung";"None"
"1342";"ketua kpk lapor kerja bagai bentuk transparansi";"None"
"1343";"kpk periksa empat sangka suap dprd kalteng";"None"
"1344";"keluarga minta bunuh acu hukum mati";"None"
"1345";"kpk aman uang tunai rp juta buah kartu atm";"None"
"1346";"kpk segel satu ruang kemenpora";"None"
"1347";"habib bahar duga rencana aniaya anak bawah umur";"None"
"1348";"sesmenpora deputi iv aman kpk";"None"
"1349";"polisi tak habib bahar lima anak buah turut tahan";"None"
"1350";"sembilan orang aman kpk kini periksa intensif";"None"
"1351";"kpk benar ott jabat kemenpora kait kasus dana hibah koni";"None"
"1352";"satgas saber pungli tegah kasus enclave kek mandalika";"None"
"1353";"mabes polri benar bahar bin smith tahan polda jabar";"None"
"1354";"polda jabar tahan bahar bin smith atas kasus aniaya";"None"
"1355";"satu ruang kemenpora segel kpk";"None"
"1356";"delapan terima suap gatot siap sidang";"None"
"1357";"setya novanto prihatin keponakan vonis berat";"None"
"1358";"taufik kurniawan gairah jelas kasus";"None"
"1359";"bareskrim pssi segera bentuk satgas berantas mafia skor";"None"
"1360";"serikat kerja jict tanya proses hukum rj lino kpk";"None"
"1361";"lima orang kait proyek fiktif waskita karya cegah luar negeri";"None"
"1362";"berkas perkara habib bahar serah jpu pekan depan";"None"
"1363";"setnov hidup penjara di pesantren";"None"
"1364";"tangkap bupati irvan kpk piala warga cianjur";"None"
"1365";"setya novanto tahu bilik cinta sukamiskin";"None"
"1366";"taufik kurniawan jalan periksa bagai sangka";"None"
