@relation training_sosial

@attribute id_training_data numeric
@attribute term string
@attribute training_class {Opportunity,Threat,None}

@data
369,'reuni datang stasiun gondangdia',Opportunity
370,'ribu reuni padat stasiun bogor malam',Opportunity
372,'antisipasi antre tumpang reuni kci tambah tugas loket stasiun',Opportunity
374,'stasiun gondangdia juanda lengang pasca-aksi reuni',Opportunity
393,'bicara forum internasional hary tanoe sektor properti pariwisata dukung',Opportunity
397,'intip seru selfie alat perang tni ad lapang jenderal soedirman',Opportunity
400,'ratus ribu jemaat hadir acara natal gbk aparat gabung terjun',Opportunity
402,'ekspor anak ayam timor leste terus tingkat',Opportunity
625,'wisuda xiv umn jawab tantang era industri',Opportunity
631,'sandiaga kamar hotel seluruh laku berkat acara reuni',Opportunity
636,'rieke september lalu jokowi angkat tenaga sehat jadi pns',Opportunity
644,'anies massa reuni mungkin lebih banyak tahun baru sampah lebih sedikit',Opportunity
659,'sambut hari antikorupsi kpk gelar konferensi berantas korupsi',Opportunity
660,'kongres budaya siap gelar rabu pekan',Opportunity
666,'dialog masyarakat desa sandiaga janji bangun infrastruktur',Opportunity
671,'naik tarif kurang parkir anies warga alih transportasi umum',Opportunity
676,'politeknik siap jadi motor era industri',Opportunity
682,'banyak pemda jawa tengah sepakat transaksi non-tunai',Opportunity
704,'ma ruf amin bangun infrastruktur papua tak henti',Opportunity
720,'surabaya raih harga online popular city guangzhou international award',Opportunity
724,'jalan tol baru kemudi minta euforia lebih',Opportunity
742,'gubernur dki anies baswedan hingga menaker hanif sambut kompasianival',Opportunity
743,'kini tim gerak pkk gratis naik transjakarta',Opportunity
1266,'kemenag ajak masyarakat jadi pelopor rukun',Opportunity
1278,'generasi muda siap hadap revolusi industri',Opportunity
1291,'misa natal katedral jakarta padat ribu jemaat',Opportunity
1293,'panglima tni jamin raya natal aman',Opportunity
1294,'terjun busana sinterklas tni-polri pecah rekor muri',Opportunity
1295,'pemprov dki harap ribu umat kristiani hadir natal sama',Opportunity
1298,'kapolri panglima tni tinjau aman tiga gereja jakpus',Opportunity
1300,'aman natal ibu kota jalan baik',Opportunity
1433,'alumni ui bangun sekolah tahan gempa lombok',Opportunity
1434,'jokowi ribu sertifikat tanah jakut',Opportunity
1452,'alumni ui bangun sekolah tahan gempa lombok',Opportunity
1453,'jokowi ribu sertifikat tanah jakut',Opportunity
1471,'alumni ui bangun sekolah tahan gempa lombok',Opportunity
1472,'jokowi ribu sertifikat tanah jakut',Opportunity
379,'jalur pantura semarang kendal-batang banjir awas macet',Threat
381,'teliti muka tanah jakut turun cm per tahun',Threat
382,'jalur pantura kaligawe banjir parah ganjar maaf tanggung jawab',Threat
383,'curhat hari banjir ganjar traktir warga semarang mi ayam',Threat
388,'curi hp pasang kasih tangkap polisi',Threat
395,'catat bangun rusak akibat terjang puting beliung bogor',Threat
